,0
0,3483.0
1,3478.0
2,3438.0
3,3393.0
4,3358.0
5,3449.0
6,3361.0
7,3454.0
8,3471.0
9,3433.0
10,3395.0
11,3430.0
12,3423.0
13,3355.0
14,3353.0
15,3337.0
16,3355.0
17,3326.0
18,3248.0
19,3242.0
20,3153.0
21,3154.0
22,3121.0
23,3116.0
24,3151.0
25,3173.0
26,3119.0
27,3033.0
28,2906.0
29,2879.0
30,2907.0
31,2888.0
32,2911.0
33,2876.0
34,2937.0
35,2898.0
36,2911.0
37,2946.0
38,2983.0
39,3072.0
40,2883.0
41,2997.0
42,3032.0
43,3068.0
44,3079.0
45,3099.0
46,3079.0
47,3119.0
48,3131.0
49,3158.0
50,3195.0
51,3472.0
52,3453.0
53,3455.0
54,3386.0
55,3323.0
56,3434.0
57,3408.0
58,3473.0
59,3438.0
60,3409.0
61,3376.0
62,3466.0
63,3396.0
64,3358.0
65,3347.0
66,3329.0
67,3379.0
68,3253.0
69,3238.0
70,3223.0
71,3131.0
72,3142.0
73,3127.0
74,3163.0
75,3192.0
76,3134.0
77,3037.0
78,3013.0
79,3002.0
80,2938.0
81,2933.0
82,2975.0
83,2904.0
84,2971.0
85,2953.0
86,2921.0
87,2938.0
88,2963.0
89,3030.0
90,3079.0
91,2972.0
92,2997.0
93,3039.0
94,3067.0
95,3102.0
96,3080.0
97,3085.0
98,3130.0
99,3150.0
100,3146.0
101,3204.0
102,3466.0
103,3364.0
104,3408.0
105,3356.0
106,3377.0
107,3394.0
108,3411.0
109,3510.0
110,3419.0
111,3397.0
112,3359.0
113,3453.0
114,3411.0
115,3346.0
116,3348.0
117,3352.0
118,3347.0
119,3153.0
120,3280.0
121,3199.0
122,3135.0
123,3127.0
124,3132.0
125,3173.0
126,3218.0
127,3143.0
128,3022.0
129,2981.0
130,2975.0
131,2967.0
132,2924.0
133,2962.0
134,2903.0
135,2944.0
136,2913.0
137,2913.0
138,2955.0
139,2992.0
140,3033.0
141,2941.0
142,2980.0
143,3030.0
144,3074.0
145,3075.0
146,3100.0
147,3056.0
148,3088.0
149,3123.0
150,3141.0
151,3146.0
152,3225.0
153,3489.0
154,3425.0
155,3409.0
156,3351.0
157,3457.0
158,3398.0
159,3451.0
160,3493.0
161,3452.0
162,3387.0
163,3420.0
164,3418.0
165,3355.0
166,3364.0
167,3332.0
168,3384.0
169,3365.0
170,3250.0
171,3231.0
172,3135.0
173,3119.0
174,3130.0
175,3118.0
176,3158.0
177,3149.0
178,3085.0
179,3047.0
180,2955.0
181,2883.0
182,2952.0
183,2993.0
184,2910.0
185,2929.0
186,2968.0
187,2963.0
188,2918.0
189,2943.0
190,3006.0
191,3057.0
192,2901.0
193,3000.0
194,3039.0
195,3060.0
196,3107.0
197,3103.0
198,3106.0
199,3120.0
200,3126.0
201,3163.0
202,3199.0
203,3220.0
204,3434.0
205,3452.0
206,3413.0
207,3337.0
208,3451.0
209,3441.0
210,3453.0
211,3456.0
212,3443.0
213,3401.0
214,3471.0
215,3410.0
216,3365.0
217,3342.0
218,3326.0
219,3356.0
220,3345.0
221,3235.0
222,3196.0
223,3112.0
224,3144.0
225,3151.0
226,3167.0
227,3175.0
228,3138.0
229,3033.0
230,3041.0
231,2964.0
232,2944.0
233,2998.0
234,2955.0
235,2957.0
236,2942.0
237,3020.0
238,2936.0
239,2942.0
240,2971.0
241,3036.0
242,2961.0
243,2913.0
244,3027.0
245,3085.0
246,3053.0
247,3106.0
248,3066.0
249,3090.0
250,3129.0
251,3156.0
252,3175.0
253,3189.0
254,3227.0
255,3369.0
256,3425.0
257,3402.0
258,3345.0
259,3370.0
260,3422.0
261,3502.0
262,3428.0
263,3411.0
264,3374.0
265,3456.0
266,3394.0
267,3307.0
268,3355.0
269,3308.0
270,3366.0
271,3228.0
272,3265.0
273,3213.0
274,3132.0
275,3130.0
276,3130.0
277,3183.0
278,3187.0
279,3116.0
280,3033.0
281,3024.0
282,3022.0
283,2997.0
284,2973.0
285,2926.0
286,2946.0
287,3010.0
288,2996.0
289,2946.0
290,2978.0
291,3009.0
292,3061.0
293,2882.0
294,2985.0
295,3038.0
296,3084.0
297,3059.0
298,3130.0
299,3081.0
300,3109.0
301,3137.0
302,3169.0
303,3183.0
304,3185.0
305,3290.0
306,3422.0
307,3420.0
308,3356.0
309,3472.0
310,3385.0
311,3466.0
312,3511.0
313,3450.0
314,3395.0
315,3409.0
316,3441.0
317,3398.0
318,3304.0
319,3336.0
320,3355.0
321,3344.0
322,3252.0
323,3256.0
324,3138.0
325,3150.0
326,3173.0
327,3159.0
328,3190.0
329,3156.0
330,3046.0
331,3037.0
332,2973.0
333,3002.0
334,2932.0
335,2947.0
336,2922.0
337,2945.0
338,2993.0
339,2934.0
340,2947.0
341,2983.0
342,3035.0
343,2966.0
344,2919.0
345,2997.0
346,3073.0
347,3066.0
348,3101.0
349,3120.0
350,3115.0
351,3099.0
352,3135.0
353,3171.0
354,3166.0
355,3213.0
356,3267.0
357,3446.0
358,3398.0
359,3346.0
360,3463.0
361,3452.0
362,3468.0
363,3468.0
364,3444.0
365,3383.0
366,3451.0
367,3389.0
368,3362.0
369,3295.0
370,3335.0
371,3358.0
372,3374.0
373,3259.0
374,3198.0
375,3145.0
376,3116.0
377,3142.0
378,3176.0
379,3165.0
380,3124.0
381,3028.0
382,3010.0
383,2928.0
384,2935.0
385,2949.0
386,2963.0
387,2919.0
388,2983.0
389,2984.0
390,2946.0
391,2973.0
392,2962.0
393,3007.0
394,2891.0
395,2972.0
396,3029.0
397,3084.0
398,3074.0
399,3099.0
400,3095.0
401,3101.0
402,3131.0
403,3159.0
404,3187.0
405,3195.0
406,3237.0
407,3307.0
408,3420.0
409,3398.0
410,3352.0
411,3410.0
412,3427.0
413,3480.0
414,3419.0
415,3439.0
416,3388.0
417,3468.0
418,3394.0
419,3357.0
420,3325.0
421,3302.0
422,3367.0
423,3304.0
424,3255.0
425,3166.0
426,3151.0
427,3116.0
428,3140.0
429,3183.0
430,3158.0
431,3103.0
432,3036.0
433,3001.0
434,2935.0
435,2959.0
436,2964.0
437,2938.0
438,2938.0
439,2972.0
440,2946.0
441,2909.0
442,2938.0
443,3005.0
444,2999.0
445,2941.0
446,2990.0
447,3092.0
448,3099.0
449,3114.0
450,3091.0
451,3074.0
452,3103.0
453,3129.0
454,3179.0
455,3214.0
456,3199.0
457,3276.0
458,3318.0
459,3424.0
460,3386.0
461,3450.0
462,3389.0
463,3466.0
464,3491.0
465,3436.0
466,3388.0
467,3402.0
468,3446.0
469,3395.0
470,3335.0
471,3305.0
472,3287.0
473,3334.0
474,3276.0
475,3186.0
476,3152.0
477,3135.0
478,3144.0
479,3162.0
480,3183.0
481,3171.0
482,3063.0
483,3020.0
484,2969.0
485,3025.0
486,3004.0
487,2976.0
488,2922.0
489,2934.0
490,2992.0
491,2866.0
492,2863.0
493,2926.0
494,2998.0
495,2913.0
496,2939.0
497,3046.0
498,3117.0
499,3104.0
500,3109.0
501,3101.0
502,3103.0
503,3116.0
504,3152.0
505,3194.0
506,3211.0
507,3227.0
508,3266.0
509,3232.0
510,3404.0
511,3321.0
512,3467.0
513,3451.0
514,3438.0
515,3484.0
516,3462.0
517,3390.0
518,3427.0
519,3435.0
520,3363.0
521,3324.0
522,3332.0
523,3350.0
524,3371.0
525,3226.0
526,3205.0
527,3135.0
528,3125.0
529,3120.0
530,3158.0
531,3155.0
532,3144.0
533,3047.0
534,3029.0
535,2929.0
536,3002.0
537,3025.0
538,2975.0
539,2980.0
540,2917.0
541,2972.0
542,2841.0
543,2916.0
544,2990.0
545,2997.0
546,2944.0
547,2991.0
548,3063.0
549,3112.0
550,3121.0
551,3112.0
552,3080.0
553,3135.0
554,3131.0
555,3173.0
556,3217.0
557,3206.0
558,3237.0
559,3271.0
560,3265.0
561,3399.0
562,3326.0
563,3413.0
564,3452.0
565,3453.0
566,3466.0
567,3465.0
568,3393.0
569,3471.0
570,3399.0
571,3405.0
572,3330.0
573,3320.0
574,3363.0
575,3277.0
576,3232.0
577,3152.0
578,3128.0
579,3105.0
580,3127.0
581,3191.0
582,3151.0
583,3092.0
584,3025.0
585,2994.0
586,2907.0
587,2961.0
588,3033.0
589,2954.0
590,2870.0
591,2986.0
592,2921.0
593,2801.0
594,2953.0
595,2959.0
596,2946.0
597,2961.0
598,3059.0
599,3115.0
600,3080.0
601,3133.0
602,3097.0
603,3100.0
604,3128.0
605,3151.0
606,3182.0
607,3215.0
608,3186.0
609,3255.0
610,3279.0
611,3405.0
612,3398.0
613,3455.0
614,3391.0
615,3481.0
616,3464.0
617,3456.0
618,3397.0
619,3390.0
620,3452.0
621,3386.0
622,3336.0
623,3321.0
624,3284.0
625,3352.0
626,3252.0
627,3214.0
628,3133.0
629,3132.0
630,3106.0
631,3165.0
632,3168.0
633,3144.0
634,3067.0
635,3019.0
636,2981.0
637,2933.0
638,2998.0
639,2966.0
640,2843.0
641,2889.0
642,2921.0
643,2876.0
644,2871.0
645,2975.0
646,3013.0
647,2935.0
648,2976.0
649,3085.0
650,3121.0
651,3075.0
652,3131.0
653,3110.0
654,3095.0
655,3144.0
656,3171.0
657,3192.0
658,3210.0
659,3246.0
660,3243.0
661,3259.0
662,3443.0
663,3387.0
664,3489.0
665,3426.0
666,3462.0
667,3454.0
668,3429.0
669,3371.0
670,3444.0
671,3445.0
672,3389.0
673,3345.0
674,3296.0
675,3313.0
676,3398.0
677,3260.0
678,3190.0
679,3089.0
680,3103.0
681,3141.0
682,3149.0
683,3157.0
684,3130.0
685,3036.0
686,3033.0
687,2903.0
688,2972.0
689,2955.0
690,2950.0
691,2816.0
692,2893.0
693,2932.0
694,2832.0
695,2889.0
696,2985.0
697,2972.0
698,3005.0
699,3019.0
700,3114.0
701,3103.0
702,3138.0
703,3146.0
704,3098.0
705,3122.0
706,3151.0
707,3171.0
708,3194.0
709,3222.0
710,3237.0
711,3286.0
712,3242.0
713,3408.0
714,3359.0
715,3417.0
716,3454.0
717,3443.0
718,3465.0
719,3444.0
720,3355.0
721,3463.0
722,3420.0
723,3389.0
724,3346.0
725,3299.0
726,3344.0
727,3259.0
728,3198.0
729,3142.0
730,3124.0
731,3120.0
732,3131.0
733,3179.0
734,3111.0
735,3112.0
736,3020.0
737,3014.0
738,2936.0
739,2974.0
740,2978.0
741,2924.0
742,2832.0
743,2943.0
744,2879.0
745,2817.0
746,2987.0
747,3034.0
748,2955.0
749,3042.0
750,3062.0
751,3144.0
752,3067.0
753,3168.0
754,3121.0
755,3087.0
756,3159.0
757,3161.0
758,3174.0
759,3205.0
760,3220.0
761,3235.0
762,3287.0
763,3406.0
764,3404.0
765,3455.0
766,3398.0
767,3451.0
768,3450.0
769,3468.0
770,3428.0
771,3388.0
772,3451.0
773,3365.0
774,3318.0
775,3330.0
776,3322.0
777,3376.0
778,3220.0
779,3188.0
780,3120.0
781,3112.0
782,3105.0
783,3164.0
784,3134.0
785,3090.0
786,3099.0
787,3002.0
788,2971.0
789,2958.0
790,2954.0
791,2932.0
792,2864.0
793,2912.0
794,2925.0
795,2867.0
796,2835.0
797,3036.0
798,3046.0
799,2995.0
800,3050.0
801,3129.0
802,3147.0
803,3134.0
804,3158.0
805,3109.0
806,3111.0
807,3148.0
808,3160.0
809,3167.0
810,3182.0
811,3248.0
812,3238.0
813,3249.0
814,3452.0
815,3427.0
816,3463.0
817,3416.0
818,3493.0
819,3485.0
820,3423.0
821,3390.0
822,3418.0
823,3425.0
824,3386.0
825,3326.0
826,3298.0
827,3307.0
828,3367.0
829,3207.0
830,3185.0
831,3121.0
832,3102.0
833,3124.0
834,3148.0
835,3132.0
836,3100.0
837,3072.0
838,3029.0
839,2920.0
840,3011.0
841,2981.0
842,2940.0
843,2903.0
844,2873.0
