,0
0,2283.0
1,2243.0
2,2210.0
3,2142.0
4,2082.0
5,2209.0
6,2115.0
7,2156.0
8,2188.0
9,2120.0
10,2086.0
11,2071.0
12,2021.0
13,1987.0
14,1977.0
15,1974.0
16,1962.0
17,1947.0
18,1793.0
19,1806.0
20,1805.0
21,1747.0
22,1702.0
23,1687.0
24,1708.0
25,1688.0
26,1664.0
27,1596.0
28,1495.0
29,1465.0
30,1549.0
31,1490.0
32,1508.0
33,1468.0
34,1500.0
35,1487.0
36,1476.0
37,1500.0
38,1535.0
39,1553.0
40,1507.0
41,1532.0
42,1570.0
43,1618.0
44,1670.0
45,1682.0
46,1648.0
47,1724.0
48,1733.0
49,1760.0
50,1775.0
51,2210.0
52,2201.0
53,2211.0
54,2123.0
55,2036.0
56,2159.0
57,2151.0
58,2164.0
59,2133.0
60,2097.0
61,2046.0
62,2088.0
63,2008.0
64,2006.0
65,1962.0
66,1983.0
67,1979.0
68,1881.0
69,1826.0
70,1841.0
71,1776.0
72,1712.0
73,1698.0
74,1710.0
75,1697.0
76,1680.0
77,1644.0
78,1611.0
79,1566.0
80,1535.0
81,1545.0
82,1532.0
83,1499.0
84,1543.0
85,1534.0
86,1519.0
87,1500.0
88,1512.0
89,1564.0
90,1623.0
91,1506.0
92,1568.0
93,1586.0
94,1651.0
95,1687.0
96,1656.0
97,1655.0
98,1717.0
99,1761.0
100,1779.0
101,1796.0
102,2222.0
103,2156.0
104,2163.0
105,2095.0
106,2084.0
107,2097.0
108,2138.0
109,2206.0
110,2114.0
111,2067.0
112,2081.0
113,2046.0
114,2015.0
115,1985.0
116,1952.0
117,1971.0
118,1983.0
119,1755.0
120,1827.0
121,1807.0
122,1748.0
123,1712.0
124,1678.0
125,1696.0
126,1709.0
127,1659.0
128,1628.0
129,1583.0
130,1550.0
131,1564.0
132,1511.0
133,1536.0
134,1499.0
135,1540.0
136,1500.0
137,1480.0
138,1504.0
139,1544.0
140,1554.0
141,1521.0
142,1534.0
143,1570.0
144,1593.0
145,1657.0
146,1688.0
147,1650.0
148,1682.0
149,1725.0
150,1763.0
151,1795.0
152,1829.0
153,2237.0
154,2191.0
155,2137.0
156,2073.0
157,2220.0
158,2122.0
159,2189.0
160,2201.0
161,2124.0
162,2077.0
163,2073.0
164,2010.0
165,1976.0
166,1987.0
167,1923.0
168,1956.0
169,1968.0
170,1795.0
171,1826.0
172,1793.0
173,1730.0
174,1713.0
175,1695.0
176,1708.0
177,1691.0
178,1656.0
179,1615.0
180,1511.0
181,1498.0
182,1544.0
183,1581.0
184,1497.0
185,1534.0
186,1553.0
187,1519.0
188,1470.0
189,1540.0
190,1554.0
191,1583.0
192,1512.0
193,1553.0
194,1587.0
195,1628.0
196,1675.0
197,1669.0
198,1650.0
199,1713.0
200,1746.0
201,1763.0
202,1789.0
203,1850.0
204,2186.0
205,2213.0
206,2139.0
207,2035.0
208,2188.0
209,2138.0
210,2169.0
211,2151.0
212,2098.0
213,2063.0
214,2081.0
215,2002.0
216,1975.0
217,1969.0
218,1924.0
219,1989.0
220,1922.0
221,1816.0
222,1818.0
223,1774.0
224,1719.0
225,1698.0
226,1696.0
227,1715.0
228,1692.0
229,1643.0
230,1599.0
231,1510.0
232,1506.0
233,1555.0
234,1527.0
235,1549.0
236,1520.0
237,1560.0
238,1513.0
239,1509.0
240,1562.0
241,1571.0
242,1538.0
243,1497.0
244,1559.0
245,1605.0
246,1648.0
247,1673.0
248,1661.0
249,1647.0
250,1712.0
251,1756.0
252,1764.0
253,1782.0
254,1885.0
255,2146.0
256,2196.0
257,2120.0
258,2055.0
259,2091.0
260,2138.0
261,2193.0
262,2121.0
263,2045.0
264,2067.0
265,2061.0
266,2023.0
267,1972.0
268,1942.0
269,1947.0
270,1980.0
271,1876.0
272,1832.0
273,1798.0
274,1766.0
275,1728.0
276,1699.0
277,1707.0
278,1713.0
279,1664.0
280,1635.0
281,1570.0
282,1583.0
283,1595.0
284,1536.0
285,1480.0
286,1514.0
287,1578.0
288,1575.0
289,1503.0
290,1552.0
291,1543.0
292,1595.0
293,1506.0
294,1529.0
295,1600.0
296,1615.0
297,1656.0
298,1678.0
299,1650.0
300,1691.0
